1	setup phase	2023-07-29 12:37:42.026816	0.00016546249389648438	
1	setup phase	2023-07-29 12:37:42.026816	0.00016546249389648438	
2	release phase	2023-07-29 12:37:43.152310	1.125671625137329	
2	release phase	2023-07-29 12:37:43.152310	1.125671625137329	
3	land phase	2023-07-29 12:38:13.295018	31.268378734588623	
3	land phase	2023-07-29 12:38:13.295018	31.268378734588623	
4	melt phase	2023-07-29 12:38:31.521277	49.494638442993164	
4	melt phase	2023-07-29 12:38:31.521277	49.494638442993164	
6	gps running1 phase	2023-07-29 12:39:16.730338	94.7037444114685	
6	gps running1 phase	2023-07-29 12:39:16.730338	94.7037444114685	
7	humandetect phase	2023-07-29 12:40:28.707823	166.68118405342102	
7	humandetect phase	2023-07-29 12:40:28.707823	166.68118405342102	
8	gps running2 phase	2023-07-29 12:52:37.122981	722.2248890399933	
8	gps running2 phase	2023-07-29 12:52:37.122981	722.2248890399933	
9	goal phase	2023-07-29 12:53:24.388442	769.4903521537781	
9	goal phase	2023-07-29 12:53:24.388442	769.4903521537781	
10	all phase complete	2023-07-29 12:53:31.760866	776.862765789032	
10	all phase complete	2023-07-29 12:53:31.760866	776.862765789032	
