run1 start	
run1 start	
run1 start	
datetime.datetime.now()	time.time()-t_start	lat	lon	direction	goal-distance	
2023-08-03 18:03:55.822597	115.540447473526	35.924393	139.912843	262.77568430595466	35.88732915725652	
2023-08-03 18:03:58.055042	117.77289247512817	35.924393	139.912843	284.2500326978036	33.41937059112668	
2023-08-03 18:04:00.295645	120.01349520683289	35.924393	139.912843	302.82854179141253	30.251494162043546	
2023-08-03 18:04:02.531982	122.24983143806458	35.924393	139.912843	298.35496178532406	27.521346372997918	
2023-08-03 18:04:04.767353	124.4852020740509	35.924393	139.912843	291.4767909795404	24.34668752286599	
2023-08-03 18:04:07.015838	126.73368740081787	35.924393	139.912843	275.5529710330368	21.970712238280313	
2023-08-03 18:04:09.249059	128.96690797805786	35.924393	139.912843	282.77124256490146	19.018584708903383	
2023-08-03 18:04:11.483887	131.20173859596252	35.924393	139.912843	292.28558764683277	17.017351478498846	
2023-08-03 18:04:13.725914	133.443763256073	35.924393	139.912843	251.30101719581887	15.097693311733277	
2023-08-03 18:04:15.967797	135.68564701080322	35.924393	139.912843	253.81079374297306	13.343013665915965	
2023-08-03 18:04:18.196580	137.91442847251892	35.924393	139.912843	248.355564859286	11.619025735531993	
2023-08-03 18:04:20.435800	140.15365076065063	35.924393	139.912843	221.09950625761812	11.064210225063881	
2023-08-03 18:04:22.673903	142.39175271987915	35.924393	139.912843	193.78159723565363	11.467560894207642	
2023-08-03 18:04:24.902983	144.6208324432373	35.924393	139.912843	169.31508759999724	11.442298842876525	
2023-08-03 18:04:27.136746	146.8545949459076	35.924393	139.912843	167.47119229084842	11.291751165113705	
2023-08-03 18:04:28.376361	148.09421038627625	35.924393	139.912843	145.7842978675626	11.304762775302477	
2023-08-03 18:04:30.616266	150.33411598205566	35.924393	139.912843	115.79602649449993	11.877817752840745	
2023-08-03 18:04:32.863932	152.5817813873291	35.924393	139.912843	74.67848992513518	11.608135736796141	
2023-08-03 18:04:35.105583	154.8234326839447	35.924393	139.912843	55.40771131249005	10.36763960747436	
run1 finish	
