run2 start	
run2 start	
run2 finish	
run2 finish	
run2 start	
datetime.datetime.now()	time.time()-t_start	lat	lon	direction	goal-distance	
2023-08-03 18:05:17.447359	197.16520714759827	35.924275	139.91252	258.3952376436212	41.513286769180475	
2023-08-03 18:05:19.685416	199.40326642990112	35.924275	139.91252	269.51445416999184	38.54831258255689	
2023-08-03 18:05:21.925138	201.64298939704895	35.924275	139.91252	259.9089427611111	34.37042092836897	
2023-08-03 18:05:24.172630	203.89048147201538	35.924275	139.91252	264.6742593752323	30.361873631584945	
2023-08-03 18:05:26.402812	206.12066340446472	35.924275	139.91252	258.23171106797935	26.55373270363397	
2023-08-03 18:05:28.646775	208.36462593078613	35.924275	139.91252	254.96956947656673	20.996701349609697	
2023-08-03 18:05:30.880348	210.59819889068604	35.924275	139.91252	267.6909372109743	17.827797048781637	
2023-08-03 18:05:33.116494	212.83434510231018	35.924275	139.91252	277.0093842566213	14.35285571449435	
2023-08-03 18:05:35.351523	215.06937265396118	35.924275	139.91252	248.45902408146156	10.777419926053595	
run2 finish	
