1	setup phase	2023-07-24 18:40:09.603485	0.0001571178436279297	
1	setup phase	2023-07-24 18:40:09.603485	0.0001571178436279297	
2	release phase	2023-07-24 18:40:10.727670	1.1243438720703125	
2	release phase	2023-07-24 18:40:10.727670	1.1243438720703125	
3	land phase	2023-07-24 18:40:40.810609	31.20729088783264	
3	land phase	2023-07-24 18:40:40.810609	31.20729088783264	
4	melt phase	2023-07-24 18:40:48.106623	38.50330877304077	
4	melt phase	2023-07-24 18:40:48.106623	38.50330877304077	
6	gps running1 phase	2023-07-24 18:41:18.542416	68.9390959739685	
6	gps running1 phase	2023-07-24 18:41:18.542416	68.9390959739685	
7	humandetect phase	2023-07-24 18:41:57.445648	107.84232997894287	
7	humandetect phase	2023-07-24 18:41:57.445648	107.84232997894287	
8	gps running2 phase	2023-07-24 18:42:40.487899	150.88467407226562	
8	gps running2 phase	2023-07-24 18:42:40.487899	150.88467407226562	
9	goal phase	2023-07-24 18:43:28.195821	198.59250354766846	
9	goal phase	2023-07-24 18:43:28.195821	198.59250354766846	
10	all phase complete	2023-07-24 18:47:07.402498	417.806352853775	
10	all phase complete	2023-07-24 18:47:07.402498	417.806352853775	
