1	setup phase	2023-07-30 18:37:59.002614	0.00015878677368164062	
1	setup phase	2023-07-30 18:37:59.002614	0.00015878677368164062	
2	release phase	2023-07-30 18:38:00.126719	1.1242680549621582	
2	release phase	2023-07-30 18:38:00.126719	1.1242680549621582	
3	land phase	2023-07-30 18:38:30.267073	31.264628410339355	
3	land phase	2023-07-30 18:38:30.267073	31.264628410339355	
4	melt phase	2023-07-30 18:38:48.492936	49.49051284790039	
4	melt phase	2023-07-30 18:38:48.492936	49.49051284790039	
6	gps running1 phase	2023-07-30 18:39:19.423233	80.42078924179077	
6	gps running1 phase	2023-07-30 18:39:19.423233	80.42078924179077	
7	humandetect phase	2023-07-30 18:40:18.171964	139.16952466964722	
7	humandetect phase	2023-07-30 18:40:18.171964	139.16952466964722	
8	gps running2 phase	2023-07-30 18:50:29.390886	608.5369889736176	
8	gps running2 phase	2023-07-30 18:50:29.390886	608.5369889736176	
9	goal phase	2023-07-30 18:51:19.184372	658.3304812908173	
9	goal phase	2023-07-30 18:51:19.184372	658.3304812908173	
10	all phase complete	2023-07-30 18:55:02.293867	881.4399621486664	
10	all phase complete	2023-07-30 18:55:02.293867	881.4399621486664	
