photorun start	
photorun start	
photorun start	
datetime.datetime.now()	time.time() - t_start	area_ratio	lat	lon	
2023-08-03 18:07:49.679027	349.39686393737793	0	35.924211	139.912079	
2023-08-03 18:07:51.246225	350.96406292915344	0.0	35.924211	139.912081	
2023-08-03 18:07:51.811679	351.5295193195343	0.0	35.924211	139.912081	
2023-08-03 18:07:54.450843	354.16868138313293	0	35.92421	139.912081	
2023-08-03 18:07:56.020098	355.73793601989746	0.0	35.92421	139.912081	
2023-08-03 18:07:56.591747	356.3095860481262	22	35.92421	139.912081	
2023-08-03 18:07:59.693386	359.411226272583	0	35.924219	139.912086	
2023-08-03 18:08:02.642325	362.36016273498535	0	35.924223	139.912088	
2023-08-03 18:08:05.218962	364.9368004798889	94	35.924224	139.912089	
2023-08-03 18:08:06.227374	365.9452202320099	94	35.924225	139.91209	
photorun finish	
