photorun start	
datetime.datetime.now()	time.time() - t_start	area_ratio	lat	lon	
2023-08-03 17:45:09.698515	314.3329167366028	0.0	35.924264	139.912117	
2023-08-03 17:45:11.261518	315.8959183692932	0	35.924265	139.912117	
2023-08-03 17:45:11.822974	316.4573743343353	0	35.924265	139.912117	
2023-08-03 17:45:13.389398	318.02379965782166	0.0	35.924265	139.912119	
2023-08-03 17:45:14.962722	319.59712862968445	0	35.924265	139.912119	
2023-08-03 17:45:15.593367	320.22776889801025	0	35.924265	139.912119	
2023-08-03 17:45:17.158071	321.7925374507904	0.0	35.924264	139.91212	
2023-08-03 17:45:17.725202	322.35960268974304	0	35.924264	139.91212	
2023-08-03 17:45:19.293872	323.9282715320587	0	35.924265	139.912119	
2023-08-03 17:45:20.900447	325.53484630584717	0.0	35.924265	139.912119	
2023-08-03 17:45:22.464159	327.0985598564148	0	35.924266	139.912118	
2023-08-03 17:45:24.034870	328.6692714691162	0.0	35.924266	139.912119	
2023-08-03 17:45:25.605474	330.23987221717834	0	35.924265	139.91212	
2023-08-03 17:45:28.210246	332.844646692276	0.0	35.924264	139.912119	
2023-08-03 17:45:28.775386	333.4097843170166	0.0	35.924265	139.912119	
2023-08-03 17:45:30.344672	334.97907042503357	0.0	35.924264	139.912118	
2023-08-03 17:45:31.906467	336.5408673286438	0	35.924264	139.912117	
2023-08-03 17:45:33.505734	338.1401333808899	0.0	35.924264	139.912118	
2023-08-03 17:45:35.073017	339.7074165344238	0.0	35.924264	139.912118	
2023-08-03 17:45:36.634387	341.2687864303589	0.0	35.924264	139.912118	
2023-08-03 17:45:39.208585	343.84299182891846	0	35.924264	139.912118	
2023-08-03 17:45:39.812257	344.44665908813477	0.0	35.924264	139.912118	
2023-08-03 17:45:41.384060	346.01845836639404	1	35.924263	139.912117	
2023-08-03 17:45:44.368613	349.0030152797699	0.0	35.924271	139.912113	
2023-08-03 17:45:46.284093	350.91849184036255	0.0	35.924273	139.91211	
2023-08-03 17:45:47.862589	352.4969880580902	0	35.924273	139.91211	
2023-08-03 17:45:49.425206	354.059606552124	0	35.924273	139.912107	
2023-08-03 17:45:50.991515	355.62592220306396	0.0	35.924273	139.912107	
2023-08-03 17:45:51.612236	356.2466359138489	0	35.924274	139.912107	
2023-08-03 17:45:54.179694	358.8140923976898	0.0	35.924274	139.912107	
2023-08-03 17:45:54.754806	359.38920426368713	0	35.924273	139.912108	
2023-08-03 17:45:56.317090	360.9514901638031	0	35.924273	139.912108	
2023-08-03 17:45:57.923986	362.55838561058044	0.0	35.924273	139.912108	
2023-08-03 17:45:59.485787	364.12018728256226	0.0	35.924273	139.912108	
2023-08-03 17:46:01.055047	365.68944549560547	0	35.924273	139.912108	
2023-08-03 17:46:02.618425	367.2528245449066	0.0	35.924273	139.912107	
2023-08-03 17:46:04.233412	368.86781120300293	13	35.924273	139.912106	
2023-08-03 17:46:07.118652	371.7530505657196	0	35.924274	139.912107	
2023-08-03 17:46:08.784717	373.4191174507141	0	35.92428	139.912109	
2023-08-03 17:46:10.699916	375.3343152999878	0	35.924285	139.91211	
2023-08-03 17:46:12.272331	376.90672969818115	1	35.924287	139.912112	
2023-08-03 17:46:14.459446	379.0938460826874	0.0	35.924289	139.912114	
2023-08-03 17:46:16.046662	380.68106150627136	0	35.924289	139.912114	
2023-08-03 17:46:17.611267	382.2456657886505	0	35.924287	139.912114	
2023-08-03 17:46:19.185180	383.81957936286926	0	35.924287	139.912113	
2023-08-03 17:46:19.754646	384.38904571533203	0.0	35.924287	139.912113	
2023-08-03 17:46:21.349246	385.98364663124084	0.0	35.924285	139.912112	
2023-08-03 17:46:22.911305	387.54570722579956	0.0	35.924285	139.912112	
2023-08-03 17:46:24.480421	389.11482095718384	0	35.924284	139.912111	
2023-08-03 17:46:26.044904	390.6793029308319	0	35.924284	139.912112	
2023-08-03 17:46:27.652183	392.28658294677734	78	35.924285	139.912112	
2023-08-03 17:46:28.655983	393.2903804779053	78	35.924285	139.912112	
photorun finish	
